"name","asciiname","latitude","longitude"
"Stuttgart","Stuttgart","48.78232","9.17702"
"Munich","Munich","48.13743","11.57549"
"Bremen","Bremen","53.07582","8.80717"
"Hamburg","Hamburg","53.55073","9.99302"
"Wiesbaden","Wiesbaden","50.08258","8.24932"
"Hannover","Hannover","52.37052","9.73322"
"Düsseldorf","Duesseldorf","51.22172","6.77616"
"Mainz","Mainz","49.98419","8.2791"
"Saarbrücken","Saarbruecken","49.23262","7.00982"
"Kiel","Kiel","54.32133","10.13489"
"Potsdam","Potsdam","52.39886","13.06566"
"Schwerin","Schwerin","53.62937","11.41316"
"Dresden","Dresden","51.05089","13.73832"
"Magdeburg","Magdeburg","52.12773","11.62916"
"Erfurt","Erfurt","50.9787","11.03283"
"Berlin","Berlin","52.52437","13.41053"
